study,date,time,subject,consentq,last30days,recentgame1,recentgame2,recentgame3,recentgame4,recentgame5,playfrequency1,playfrequency2,playfrequency3,playfrequency4,playfrequency5,sliderviolence1,FreqViolence1,sliderviolence2,FreqViolence2,sliderviolence3,FreqViolence3,sliderviolence4,FreqViolence4,sliderviolence5,FreqViolence5,Averagefrequencyviolence,Age,Gender,sexnumerical,country,Numericalgameplayed,Gameplayed,VorNV,Score,Selfscore,Sexuality,Relationshipstatus,lengthofrelationship,ageofpartner,mvscaleselfdesirability,mvscaleothersdesirability,mvscalecomparison,mvscalecatch,MV1Total,mv1,mv2,mv3,MV3responserecoded,mv4,mv5,mv6,mv7,mv8,mv9,mv10,MV10responserecoded,mv11,mv12,mv13,MV13responserecoded,mv14,mv15,mv16,mv17,mv18,mv19,mv20,mv21,mv22,Mvfactorviewofoppositesex,MVFactorSociality,MVFactorparenting,MVFactorWealth,MVFactorLooks,MVfactorRelationshiphistory,MVFactorFearoffailure,MV2Average,sgaq1,sgaq2,sgaq3,sgaq4,sgaq5,sgaq6,sgaq7,sgaq8,SGAAverage,hos1,hos2,hos3,hos4,hos5,hos6,HostilityTotal,mm1,mm2,mm3,mm4,MATINGMOTIVATIONtotal,soirq1,soirq2,soirq3,soirq4,soirq5,soirq6,SOIRQ6Reversecoding,soirq7,soirq8,soirq9,soirq10,SOIRQ1Score,SOIRQ2Score,SOIRQSCORE,SOIRBehaviouralfacet,SOIRATTITUDEFACET,SOIRDESIREFACET,SOIRTOTAL,troubleunderstanding,furtherquestions,Removedata
mturk,63015,15:51:48,104521049,"Yes, I consent to participate in this study",Yes,plants vs zombies,resident evil,,,,7,6, , , ,2,14,5,30,,,,,,,22,45,Female,1,usa,1,perfectbalance.html,NV,2234,3,1,Single, , ,4,3,4,4,15,6,7,7,1,5,3,5,2,1,1,1,7,3,3,6,2,5,5,5,3,1,5,3,5,5,4.833333333,2.2,5,1,4,5,4,3.772727273,1,7,1,1,5,6,1,3,1,1,1,1,1,1,1,6,1,1,2,1,5,0,0,0,6,3,7,3,9,2,2,2,1,1,1,3,12,6,21,No,,No
mturk,63015,12:53:31,106185482,"Yes, I consent to participate in this study",Yes,Titanfall,Halo 3,City:Skylines,The Witcher 3,GTAV,7,5,4,6,4,6,42,6,30,1,4,7,42,7,28,29.2,22,Male,2,United States,1,perfectbalance.html,NV,1111,2,7,In an open relationship/casually dating,2-5 years,Younger,6,6,4,4,20,5,6,5,3,7,6,6,4,5,4,2,6,6,5,2,6,5,5,5,7,4,5,4,1,5,4.5,5.6,6.333333333,4,4.5,5,4.5,5,4,6,2,4,6,6,5,3,3.333333333,1,1,1,1,1,1,6,2,1,2,2,7,0,0,0,3,3,7,3,9,2,2,2,1,1,1,3,9,6,18,No,Everything went well,No
mturk,63015,21:44:01,106496730,"Yes, I consent to participate in this study",Yes,Angry Birds,Plants vs. Zombies,,,,5,5, , , ,2,10,2,10,,,,,,,10,31,Female,1,United States,1,perfectbalance.html,NV,1100,2,1,"In a long-term monogamous relationship eg. married, partnered",6-10 years,A little older,7,7,6,7,27,7,7,3,5,7,5,7,5,5,2,1,7,7,7,1,7,5,5,6,7,2,5,6,7,6,6.5,5.8,7,2,6,5,6,5.772727273,7,7,7,5,7,7,1,1,6.333333333,1,1,1,1,1,1,6,1,1,1,1,4,1,3,5-Jun,1,3,5,5,9,4,3,2,2,4,6,12,9,9,30,No,,No
mturk,63015,20:30:39,107155473,"Yes, I consent to participate in this study",Yes,Grand Theft Auto IV,Diablo,Pokemon (Gameboy),Minecraft,Borderlands,5,3,4,4,2,7,35,6,18,1,4,1,4,7,14,15,22,Male,2,United States,4,moremindlessviolence.html,V,2,3,5,Single, , ,5,5,6,6,22,6,2,3,5,1,3,5,5,3,3,2,6,1,5,5,3,6,3,7,5,7,5,7,4,5,5.166666667,3.8,1.333333333,5,7,4,5.5,4.409090909,1,6,1,6,2,6,3,2,2.666666667,1,1,2,1,1,1,7,1,1,1,1,4,3,0,5-Jun,9,9,1,9,9,8,7,8,4,1,6,11,27,23,61,Yes,Slider bar was SMALL,No
mturk,63015,13:43:45,114232863,"Yes, I consent to participate in this study",Yes,Fallout new Vegas,Civilization 5,Dead Island ,Tomb Raider,The Witcher ,7,7,7,4,4,7,49,1,7,7,49,7,28,7,28,32.2,27,Male,2,US,6,gunblood.html,V,482,4,7,"In a long-term monogamous relationship eg. married, partnered",Under one year,Younger,7,6,7,7,27,7,3,1,7,5,7,7,7,7,7,1,7,3,7,1,7,7,7,3,7,7,7,3,1,7,6,7,3.666666667,7,3,7,7,5.909090909,7,7,5,3,7,7,7,1,5,1,1,1,1,1,1,6,6,5,5,5,21,5-Jun,Oct-19,20+,9,9,1,9,9,9,9,9,6,8,9,17,27,27,71,No,Interesting Survey!,No
mturk,63015,13:10:54,115114039,"Yes, I consent to participate in this study",Yes,Bloodborne,Battlefield 4,Dark Souls II,Minecraft,Planetside 2,7,4,7,3,4,5,35,5,20,5,35,3,9,5,20,23.8,27,Female,1,Untied States,3,bubbleshooter.html,NV,200000,5,1,"In a long-term monogamous relationship eg. married, partnered",6-10 years,A little younger,7,7,5,4,23,7,7,5,3,7,5,6,5,5,3,3,5,5,5,3,5,3,5,5,5,3,5,5,1,5,4.5,5,6.333333333,3,5,5,4,4.772727273,7,7,3,3,5,5,3,3,4.333333333,1,1,1,1,1,1,6,5,2,5,5,17,1,1,1,7,3,7,3,9,1,2,2,2,2,2,6,13,5,24,No,,No
mturk,63015,16:34:14,115456942,"Yes, I consent to participate in this study",Yes,Sudoku on my phone,Towerfall Ascention ,,,,7,4, , , ,1,7,3,12,,,,,,,9.5,25,Female,1,USA,4,moremindlessviolence.html,V,30,3,1,"In a long-term monogamous relationship eg. married, partnered",2-5 years,About the same age,7,7,7,7,28,7,7,4,4,6,6,6,6,6,3,2,6,3,5,3,5,2,6,5,6,5,3,6,5,5,5,5.8,5.333333333,4,5.5,4.5,5,5.136363636,1,7,1,1,7,7,6,2,1,1,1,1,1,1,1,6,3,3,1,2,9,1,0,0,4,1,8,2,9,1,1,1,2,1,1,4,7,3,14,No,,No
mturk,63015,18:49:47,116410281,"Yes, I consent to participate in this study",Yes,Counter Strike: Global Offensive,Garry's Mod,League of Legends,Magic: The Gathering Online,Ace Combat Zero,5,7,4,6,5,6,30,6,42,5,20,2,12,5,25,25.8,19,Male,2,USA,6,gunblood.html,V,34,4,5,Single, , ,3,3,4,1,11,5,3,1,7,3,2,3,2,1,1,2,6,3,2,6,2,2,2,2,2,1,2,3,2,2,2.666666667,1.8,3,1,2.5,2,6.5,2.636363636,3,5,1,1,6,5,2,3,1.666666667,1,1,1,1,1,1,6,1,1,1,1,4,0,0,0,6,2,4,6,9,2,2,1,1,1,1,3,14,5,22,No,,No
mturk,63015,15:49:45,119001513,"Yes, I consent to participate in this study",Yes,WoW,Fallout,,,,4,4, , , ,6,24,6,24,,,,,,,24,35,Female,1,USA,3,bubbleshooter.html,NV,830,4,1,"In a long-term monogamous relationship eg. married, partnered",2-5 years,About the same age,6,6,5,6,23,7,1,5,3,1,7,7,6,6,1,1,7,1,7,3,5,2,6,7,6,1,5,7,5,6,5.666666667,6,1,1,7,5.5,5,4.727272727,5,7,5,6,2,5,2,1,5.333333333,1,1,1,1,1,1,6,3,2,5,2,12,1,5-Jun,Oct-19,9,6,2,8,9,2,2,2,2,6,8,16,23,6,45,No,The game was fun!,No
mturk,63015,17:20:04,119789297,"Yes, I consent to participate in this study",Yes,Legend of Dragoon,Chrono Cross,Call of Duty: Ghosts,Super Princess Peach,Zelda: Ocarina of Time,6,5,7,5,4,2,12,2,10,5,35,1,5,1,4,13.2,21,Female,1,US,3,bubbleshooter.html,NV,3820,5,1,Single, , ,7,7,7,7,28,6,7,7,1,7,5,6,6,6,2,2,6,7,6,5,3,6,6,7,5,4,7,7,7,7,6.333333333,5,7,3,7,6.5,3.5,5.636363636,2,7,7,7,7,7,2,1,5.333333333,1,1,1,1,1,1,6,7,7,7,7,28,0,0,0,2,1,9,1,9,2,2,2,1,1,1,3,4,6,13,No,None thanks,No
