date,time,group,subject,build,consentq_response,,last30days_response,recentgame1_response,recentgame2_response,recentgame3_response,recentgame4_response,recentgame5_response,playfrequency1_response,playfrequency2_response,playfrequency3_response,playfrequency4_response,playfrequency5_response,sliderviolence1_response,Freqviolence1,sliderviolence2_response,Freqviolence2,sliderviolence3_response,Freqviolence3,sliderviolence4_response,Freqviolence4,sliderviolence5_response,Freqviolence5,Averagefrequencyviolence,Age,Gender,country_response,subject,Gameplayed,VorNV,scoreingameplayed_response,Selfscore,stface1,stface1score,stface2,stface2score,stface3,stface3score,stface4,stface4score,stface5,stface5score,stface6,stface6score,TotalSTScore,ltface1,ltface1score,ltface2,ltface2score,ltface3,ltface3score,ltface4,ltface4,ltface5,ltface5score,ltface6,ltface6,TotalLTScore,Sexuality,Kinsey,relationshipstatus_response,lengthofrelationship_response,ageofpartner_response,mvscaleselfdesirability_response,mvscaleothersdesirability_response,mvscalecomparison_response,mvscalecatch_response,MV1Total,mv1_response,mv2_response,mv3_response,mv3reverse,mv4_response,mv5_response,mv6_response,mv7_response,mv8_response,mv9_response,mv10_response,mv10reverse,mv11_response,mv12_response,mv13_response,mv13reverse,mv14_response,mv15_response,mv16_response,mv17_response,mv18_response,mv19_response,mv20_response,mv21_response,mv22_response,MV2Total,Mvfactorviewofoppositesex,Mvfactorsociality,Mvfactorparenting,Mvfactorwealth,Mvfactorlooks,Mvfactorrelationshiphistory,MvFactorfearoffailure,MV2Average,Matevalue,sgaq1_response,sgaq3_response,sgaq5_response,sgaq7_response,sgaq2_response,sgaq4_response,sgaq6_response,sgaq8_response,SGAAverage,hos1_response,hos2_response,hos3_response,hos4_response,hos5_response,hos6_response,HostilityTotal,whystrongsexy_response,whyattractive_response,whytough_response,whyconfident_response,MMTotal,soirq1_response,soirq1score,soirq2_response,soirq2score,soirq3_response,soirq3score,soirq4_response,soirq5_response,soirq6_response,soirq6reverse,soirq7_response,soirq8_response,soirq9_response,soirq10_response,SOIRbehaviouralfacet,SOIRattitudefacet,SOIRdesirefacet,SOIRTotal,troubleunderstanding_response,furtherquestions_response,Removedata,Reasonforremoval
83115,8:56:47,648374801,107956727,4.0.8.0,"Yes, I consent to participate in this study",,Yes,Grand Theft Auto 5,Sonic,Football ,,,7,7,5, , ,7,49,1,7,2,10,,,,,22,32,Female,USA,107956727,perfectbalance.html,NV,961,2,mface1,0,mface2.2,1,mface3.2,1,mface4,0,mface5,0,mface6,0,2,mface1.2,1,mface2,0,mface3.2,1,mface4,0,mface5.2,1,mface6.2,1,4,1,1,"In a long-term monogamous relationship eg. married, partnered",11-20 years,A little older,5,6,5,6,22,5,7,7,1,6,5,3,3,3,5,7,1,6,5,5,3,7,7,6,5,7,6,4,6,6,107,5.333333333,3.8,6.333333333,6,5,6.5,1,4.863636364,4.961538462,6,5,6,7,6,3,7,5,4.666666667,1,1,2,1,2,1,8,6,5,6,6,23,1,2,1,2,1,2,9,8,3,7,9,6,3,8,6,24,17,47,No,no,No,
83115,8:55:14,170528016,117987669,4.0.8.0,"Yes, I consent to participate in this study",,Yes,Skyrim,Dragon Age games,Halo,Shadows of Mordor,Call of Duty,7,7,5,7,6,5,35,5,35,6,30,5,30,6,36,33.2,48,Female,USA,118408586,bubbleshooter.html,NV,20000,4,mface1,0,mface2,0,mface3,0,mface4.2,1,mface5,0,mface6,0,1,mface1.2,1,mface2,0,mface3,0,mface4,0,mface5,0,mface6,0,1,1,1,"In a long-term monogamous relationship eg. married, partnered",11-20 years,A little older,6,6,4,4,20,6,7,3,5,7,5,4,4,5,1,1,7,3,3,2,6,3,3,5,6,1,3,4,3,4,95,3.833333333,5.2,5.666666667,1,4.5,3,6,4.318181818,4.423076923,1,1,4,2,6,3,4,3,1.666666667,1,1,1,1,1,1,6,2,1,5,1,9,1,2,0,1,0,1,1,1,9,1,9,2,2,1,4,3,5,12,No,,No,
83115,7:13:04,218053087,118408586,4.0.8.0,"Yes, I consent to participate in this study",,Yes,Emily's Delicious Tea Garden,Emily's Delicious Honeymoon,Papa's Cheeseria,,,4,4,6, , ,1,4,1,4,1,6,,,,,4.666666667,38,Female,United States,136125316,moremindlessviolence.html,V,1,1,mface1.2,1,mface2,0,mface3,0,mface4,0,mface5,0,mface6,0,1,mface1.2,1,mface2,0,mface3,0,mface4,0,mface5,0,mface6.2,1,2,1,1,Single, , ,4,4,4,4,16,4,5,3,5,1,4,4,4,5,1,1,7,1,4,2,6,4,5,5,4,1,4,5,4,4,87,4,4.6,2.333333333,1,5,4.5,6,3.954545455,3.961538462,1,1,4,1,7,2,7,3,1.333333333,1,1,1,1,1,1,6,1,1,1,1,4,1,2,2,3,2,3,5,2,8,2,9,4,2,2,8,9,8,25,No,The sliding scales were extremely tedious to use.,No,
83115,10:03:06,366105066,136125316,4.0.8.0,"Yes, I consent to participate in this study",,Yes,bejeweled blitz,hearts,sudoku,,,7,7,4, , ,1,7,1,7,1,4,,,,,6,36,Female,USA,145753808,moremindlessviolence.html,V,1,3,mface1.2,1,mface2,0,mface3,0,mface4,0,mface5.2,1,mface6.2,1,3,mface1,0,mface2,0,mface3.2,1,mface4.2,1,mface5.2,1,mface6.2,1,4,1,1,Single, , ,3,3,3,4,13,2,6,5,3,5,5,2,4,5,1,3,5,2,2,3,5,2,5,6,6,1,2,6,2,2,79,2,5,4.333333333,1,6,3.5,4,3.590909091,3.538461538,2,6,5,1,6,5,5,4,4.333333333,1,1,1,1,1,1,6,1,1,1,1,4,0,1,0,1,0,1,4,1,6,4,9,8,6,6,3,9,20,32,No,No.,No,
83115,22:21:19,192849814,145753808,4.0.8.0,"Yes, I consent to participate in this study",,Yes,candy crush,clash of clans,sims 3,contract killer,gradn theft auto 5,5,4,3,4,3,1,5,4,16,2,6,6,18,7,21,13.2,22,Female,United States,145879133,perfectbalance.html,NV,200,3,mface1,0,mface2,0,mface3,0,mface4,0,mface5,0,mface6.2,1,1,mface1.2,1,mface2,0,mface3.2,1,mface4.2,1,mface5,0,mface6,0,3,1,1,Single, , ,6,6,4,5,21,5,7,3,5,7,6,7,6,5,4,3,5,5,6,3,5,6,6,4,5,3,5,3,6,6,117,6,5.4,6.333333333,3.5,3.5,5.5,5,5.318181818,5.307692308,3,5,7,5,5,4,6,5,4,1,1,1,1,1,1,6,4,3,5,4,16,2,3,1,2,1,2,4,3,5,5,9,4,3,4,7,12,11,30,No,,No,
83115,8:38:53,875811428,145879133,4.0.8.0,"Yes, I consent to participate in this study",,Yes,Grand Theft Auto 5,Dirt,Blazing Angels,ProStreet,Midnight Club,7,4,4,4,5,6,42,1,4,2,8,1,5,6,30,17.8,36,Female,USA,146697624,pongnop.html,NV,1768,6,mface1,0,mface2,0,mface3,0,mface4,0,mface5,0,mface6,0,0,mface1,0,mface2.2,1,mface3,0,mface4,0,mface5,0,mface6,0,1,1,1,"In a long-term monogamous relationship eg. married, partnered",11-20 years,A little older,7,6,6,7,26,7,7,1,7,7,7,7,7,6,2,1,7,7,7,1,7,5,5,7,7,3,2,7,7,7,135,6.666666667,6.8,7,2.5,7,3.5,7,6.136363636,6.192307692,7,7,5,1,7,7,6,1,7,1,1,1,1,1,1,6,5,6,6,5,22,1,2,0,1,0,1,7,2,8,2,9,2,2,2,4,11,6,21,No,,No,
83115,7:36:22,704203124,146697624,4.0.8.0,"Yes, I consent to participate in this study",,Yes,Minecraft,Guitar Hero,Fifa,,,5,5,4, , ,2,10,1,5,2,8,,,,,7.666666667,26,Female,USA,14713800,pongnop.html,NV,1003,4,mface1,0,mface2,0,mface3,0,mface4.2,1,mface5,0,mface6,0,1,mface1,0,mface2,0,mface3,0,mface4,0,mface5,0,mface6,0,0,1,1,"In a long-term monogamous relationship eg. married, partnered",2-5 years,About the same age,5,5,4,4,18,6,6,3,5,7,5,5,6,6,3,1,7,5,5,1,7,3,6,5,5,3,6,5,3,5,114,4.5,5.8,6,3,5,6,6,5.181818182,5.076923077,5,3,3,1,7,5,3,3,4.333333333,1,1,2,1,1,1,7,2,2,3,3,10,1,2,2,3,2,3,6,6,3,7,9,3,3,3,8,19,9,36,No,"Nothing was confusing,",No,
83115,15:44:19,920246252,14713800,4.0.8.0,"Yes, I consent to participate in this study",,Yes,candy crush,sonic,just dance,alpha betty,bugs,7,4,4,4,2,1,7,3,12,1,4,1,2,4,8,6.6,37,Female,usa,169314291,pongnop.html,NV,790,4,mface1,0,mface2,0,mface3,0,mface4,0,mface5.2,1,mface6.2,1,2,mface1.2,1,mface2,0,mface3,0,mface4.2,1,mface5,0,mface6,0,2,1,1,"In a long-term monogamous relationship eg. married, partnered",6-10 years,Older,6,6,4,4,20,6,7,2,6,7,5,6,7,7,2,1,7,7,4,4,4,4,6,6,7,1,5,7,5,5,121,5,6,7,1.5,6.5,5.5,6.5,5.5,5.423076923,1,1,3,1,7,1,3,4,1,1,1,1,1,1,1,6,1,1,1,1,4,0,1,1,2,2,3,3,2,8,2,9,2,2,1,6,7,5,18,No,,No,
83115,8:51:26,448095872,148668058,4.0.8.0,"Yes, I consent to participate in this study",,Yes,Farmville 2,Township,AdVenture,Tetris,Animal Kingdom,7,7,7,4,4,1,7,1,7,1,7,1,4,1,4,5.8,39,Female,United States,175838888,deanimator.html,V,43,1,mface1.2,1,mface2,0,mface3.2,1,mface4.2,1,mface5.2,1,mface6.2,1,5,mface1,0,mface2.2,1,mface3.2,1,mface4.2,1,mface5.2,1,mface6.2,1,5,1,1,"In a long-term monogamous relationship eg. married, partnered",20+ years,A little older,7,7,6,7,27,7,7,7,1,7,7,7,7,7,1,1,7,7,7,1,7,1,7,7,7,1,1,1,1,7,112,5,7,7,1,4,4,4,5.090909091,5.346153846,1,1,1,7,7,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,4,1,2,1,2,0,1,1,1,8,2,9,1,1,1,5,4,3,12,No,no,No,
83115,7:35:37,631056257,15024332,4.0.8.0,"Yes, I consent to participate in this study",,Yes,Life Is Strange,Until Dawn,Skyrim,Guild Wars 2,Mass Effect 3,7,7,4,6,3,3,21,7,49,7,28,5,15,6,18,26.2,23,Female,United States,18397633,moremindlessviolence.html,V,60,4,mface1,0,mface2,0,mface3.2,1,mface4,0,mface5.2,1,mface6,0,2,mface1,0,mface2,0,mface3,0,mface4,0,mface5,0,mface6,0,0,1,1,Single, , ,1,1,1,1,4,1,3,1,7,4,1,1,2,1,1,2,6,1,1,7,1,1,1,1,1,1,1,3,1,2,42,1.166666667,1.2,2.666666667,1,2,1,6.5,1.909090909,1.769230769,2,6,5,5,7,6,5,1,4.666666667,1,1,2,1,1,1,7,5,6,5,6,22,0,1,0,1,0,1,9,6,8,2,9,3,3,4,3,17,10,30,No,,No,
83115,10:06:32,17550818,162991615,4.0.8.0,"Yes, I consent to participate in this study",,Yes,World of Warcraft,Mount & Blade: Warband,Sid Meier's Civilization V,Disgaea,Plants vs Zombies,7,4,3,2,1,3,21,6,24,2,6,2,2,2,2,11,34,Female,United States of America,21015192,gunblood.html,V,125,3,mface1,0,mface2,0,mface3,0,mface4,0,mface5,0,mface6,0,0,mface1,0,mface2,0,mface3,0,mface4,0,mface5.2,1,mface6,0,1,1,1,"In a long-term monogamous relationship eg. married, partnered",11-20 years,About the same age,5,5,5,5,20,5,2,2,6,1,3,5,2,4,2,1,7,5,5,3,5,6,5,5,3,2,5,5,2,5,90,4.666666667,3.4,2.666666667,2,5,5,6.5,4.090909091,4.230769231,4,5,6,3,7,4,5,2,4.333333333,1,1,1,1,1,1,6,2,1,3,1,7,1,2,0,1,0,1,4,2,6,4,9,4,4,3,4,10,11,25,No,"In one of the questions it said ""revieve"" instead of ""recieve""",No,
83115,7:51:22,668399999,169314291,4.0.8.0,"Yes, I consent to participate in this study",,Yes,Mortal Kombat X,Dying Light,Pillars of Eternity,Batman: Arkham knight,The Witcher 3: Wild hunt,7,7,4,5,6,6,42,5,35,3,12,6,36,5,30,31,30,Female,USA,218978184,moremindlessviolence.html,V,1,3,mface1,0,mface2.2,1,mface3.2,1,mface4,0,mface5.2,1,mface6.2,1,4,mface1.2,1,mface2.2,1,mface3.2,1,mface4,0,mface5.2,1,mface6.2,1,5,1,1,Single, , ,6,5,4,4,19,5,5,5,3,5,3,5,3,5,5,3,5,5,5,5,3,3,5,5,3,5,4,5,5,5,97,4.666666667,3.4,5,5,5,4.5,4,4.409090909,4.461538462,5,5,5,7,5,5,5,2,5,1,1,1,1,1,1,6,3,3,5,5,16,1,2,1,2,1,2,9,9,4,6,1,6,5,7,6,24,18,48,No,,Yes,Failed check
83115,7:18:00,500857045,174845746,4.0.8.0,"Yes, I consent to participate in this study",,Yes,candy crush sage,diamond dash,angry birds,pet rescue saga,candy crush soda,6,5,5,5,6,2,12,1,5,5,25,3,18,3,18,15.6,50,Female,usa,231243822,deanimator.html,V,6,3,mface1.2,1,mface2,0,mface3.2,1,mface4,0,mface5,0,mface6.2,1,3,mface1.2,1,mface2,0,mface3,0,mface4.2,1,mface5.2,1,mface6.2,1,4,1,1,"In a long-term monogamous relationship eg. married, partnered",6-10 years,About the same age,5,5,5,6,21,6,5,5,3,2,5,3,5,5,5,5,3,3,5,2,6,5,6,5,5,5,2,5,3,5,97,4.5,5.2,3.333333333,5,5,4,3,4.409090909,4.538461538,5,6,5,3,7,5,5,3,5.333333333,1,1,2,1,2,1,8,5,5,5,5,20,1,2,0,1,1,2,6,6,6,4,9,2,2,3,5,16,7,28,No,,No,
83115,10:47:13,607243530,175838888,4.0.8.0,"Yes, I consent to participate in this study",,Yes,cnady crush ,The Sims ,no,no,no,7,4,,,,1,7,2,8,1,0,1,0,1,0,3,27,Female,USA,23537093,moremindlessviolence.html,V,7,1,mface1,0,mface2,0,mface3,0,mface4,0,mface5,0,mface6.2,1,1,mface1.2,1,mface2,0,mface3,0,mface4,0,mface5,0,mface6,0,1,1,1,"In a long-term monogamous relationship eg. married, partnered",6-10 years,About the same age,5,7,4,6,22,5,5,4,4,7,4,5,3,5,3,1,7,5,5,2,6,4,5,6,3,4,3,7,7,5,108,5.166666667,4.2,5.666666667,3.5,6.5,4,5.5,4.909090909,5,1,1,4,7,5,3,2,7,1.666666667,1,1,1,1,1,1,6,1,1,1,1,4,7--9,7,10--19,8,10--19,8,9,9,1,9,9,2,1,1,23,27,4,54,No,,No,
83115,11:43:24,667350029,178820332,4.0.8.0,"Yes, I consent to participate in this study",,Yes,Gummy Drop,Puzzle Bobble,Tetris,,,7,7,4,1,1,1,7,1,7,1,4,,0,,0,3.6,55,Female,USA,236070739,deanimator.html,V,36,2,mface1,0,mface2.2,1,mface3,0,mface4,0,mface5,0,mface6.2,1,2,mface1.2,1,mface2.2,1,mface3,0,mface4,0,mface5,0,mface6.2,1,3,1,1,"In a long-term monogamous relationship eg. married, partnered",20+ years,A little older,5,6,4,4,19,5,6,1,7,7,5,6,3,3,1,3,5,3,6,6,2,6,5,4,2,1,3,3,5,5,93,5.5,3,5.333333333,1,3.5,4,6,4.227272727,4.307692308,2,2,2,1,7,3,5,2,2.333333333,1,1,1,1,1,1,6,1,1,1,1,4,1,2,2,3,0,1,9,5,7,3,9,2,1,1,6,17,4,27,No,everything clear and easy to understand,No,
83115,11:16:31,476410418,18397633,4.0.8.0,"Yes, I consent to participate in this study",,Yes,COOKIE JAM,CANDY CRUSH,SIMPSONS TAP OUT,FARMVILLE,,7,5,7,4, ,1,7,1,5,1,7,1,,,,6.333333333,31,Female,USA,252400192,moremindlessviolence.html,V,1,1,mface1,0,mface2.2,1,mface3,0,mface4,0,mface5.2,1,mface6,0,2,mface1,0,mface2,0,mface3.2,1,mface4,0,mface5,0,mface6.2,1,2,1,1,"In a long-term monogamous relationship eg. married, partnered",2-5 years,A little younger,6,4,4,4,18,6,7,2,6,7,5,4,4,5,1,7,1,4,5,2,6,5,6,4,6,1,5,4,6,5,103,5.166666667,5.2,6,1,4,5.5,3.5,4.681818182,4.653846154,1,4,6,2,7,3,6,1,2.666666667,1,1,1,1,1,1,6,1,1,1,1,4,1,2,3,4,3,4,3,4,7,3,9,1,1,1,10,10,3,23,No,,No,
83115,9:13:15,661340656,198307791,4.0.8.0,"Yes, I consent to participate in this study",,Yes,Zen Gems,Cubis,SwapIt,Bejeweled Blitz,,6,4,4,4, ,1,6,1,4,1,4,1,,,,4.666666667,68,Female,USA,255221659,perfectbalance.html,NV,450,3,mface1.2,1,mface2,0,mface3,0,mface4,0,mface5,0,mface6.2,1,2,mface1.2,1,mface2,0,mface3,0,mface4,0,mface5.2,1,mface6.2,1,3,1,1,Single, , ,2,2,2,1,7,2,7,1,7,1,2,1,2,3,1,1,7,1,2,2,6,1,4,5,2,1,1,4,2,2,64,1.666666667,3,3,1,4.5,2.5,7,2.909090909,2.730769231,2,1,5,5,7,1,6,2,1.333333333,1,1,3,1,1,1,8,1,1,1,1,4,0,1,0,1,1,2,8,1,8,2,9,2,2,2,4,11,6,21,No,none,No,
83115,7:36:58,731529484,200838374,4.0.8.0,"Yes, I consent to participate in this study",,Yes,skylanders,ratchet and clank,gran turismo,jak and dexter,candy crush saga,7,6,6,5,2,5,35,5,30,1,6,5,10,1,2,16.6,33,Female,usa,258691412,bubbleshooter.html,NV,7780,4,mface1,0,mface2,0,mface3.2,1,mface4,0,mface5,0,mface6,0,1,mface1,0,mface2.2,1,mface3.2,1,mface4,0,mface5.2,1,mface6.2,1,4,1,1,"In a long-term monogamous relationship eg. married, partnered",11-20 years,A little older,7,7,2,4,20,7,7,7,1,6,3,3,3,6,2,2,6,2,2,7,1,3,1,7,2,1,1,7,1,7,79,3.833333333,3,5,1.5,7,1,3.5,3.590909091,3.807692308,1,1,1,7,7,1,1,3,1,1,1,1,1,1,1,6,1,1,1,1,4,0,1,0,1,0,1,1,1,1,9,9,1,1,1,3,11,3,17,No,no comment thanks for asking though ;),No,
